# 			 time 				 redshift 				fof_bound_mass 		 fof_field_mass 			fof_bound_lumi 		 fof_field_lumi 			prof_bound_mass 		 profiler_field_mass 			prof_bound_lumi 		 prof_field_lumi 		
3.449302095499961069e+02 1.290676352532116056e+01 9.402761452526433459e+02 0.000000000000000000e+00 1.862635404256779383e+36 0.000000000000000000e+00 9.402761452526433459e+02 0.000000000000000000e+00 1.862635404256779383e+36 0.000000000000000000e+00
3.460605272482662258e+02 1.287654984987375961e+01 9.402761452526401627e+02 0.000000000000000000e+00 1.884203705723250761e+36 0.000000000000000000e+00 9.402761452526401627e+02 0.000000000000000000e+00 1.884203705723250761e+36 0.000000000000000000e+00
3.471937221106495031e+02 1.284635555666445228e+01 9.402761452526293624e+02 0.000000000000000000e+00 2.239380301197180976e+36 0.000000000000000000e+00 9.402761452526293624e+02 0.000000000000000000e+00 2.239380301197180976e+36 0.000000000000000000e+00
3.477600923132332582e+02 1.283131116552785755e+01 9.402761452526232233e+02 0.000000000000000000e+00 2.631042440456318537e+36 0.000000000000000000e+00 9.402761452526232233e+02 0.000000000000000000e+00 2.631042440456318537e+36 0.000000000000000000e+00
3.483287030941976354e+02 1.281631571221036303e+01 9.402761452526341373e+02 0.000000000000000000e+00 3.185135067708512137e+36 0.000000000000000000e+00 9.402761452526341373e+02 0.000000000000000000e+00 3.185135067708512137e+36 0.000000000000000000e+00
3.488557846169379673e+02 1.280244878619058291e+01 9.392758514810980159e+02 0.000000000000000000e+00 2.819212767848368875e+36 0.000000000000000000e+00 9.392758514810980159e+02 0.000000000000000000e+00 2.819212767848368875e+36 0.000000000000000000e+00
3.494238245651029615e+02 1.278743811667103714e+01 9.392758514810891484e+02 0.000000000000000000e+00 2.178350970970378747e+36 0.000000000000000000e+00 9.392758514810891484e+02 0.000000000000000000e+00 2.178350970970378747e+36 0.000000000000000000e+00
3.499945534461859324e+02 1.277247632071615691e+01 9.392758514810934685e+02 0.000000000000000000e+00 1.787013583127915908e+36 0.000000000000000000e+00 9.392758514810934685e+02 0.000000000000000000e+00 1.787013583127915908e+36 0.000000000000000000e+00
3.505003117296604387e+02 1.275924485654135765e+01 9.382755577095397257e+02 0.000000000000000000e+00 1.549272648033973926e+36 0.000000000000000000e+00 9.382755577095397257e+02 0.000000000000000000e+00 1.549272648033973926e+36 0.000000000000000000e+00
3.510694919085647712e+02 1.274439827750457432e+01 9.382755577095297213e+02 0.000000000000000000e+00 1.399999413048266793e+36 0.000000000000000000e+00 9.382755577095297213e+02 0.000000000000000000e+00 1.399999413048266793e+36 0.000000000000000000e+00
3.516212946211822441e+02 1.273005889183199102e+01 9.362749701664420172e+02 0.000000000000000000e+00 1.273878047609967414e+36 0.000000000000000000e+00 9.362749701664420172e+02 0.000000000000000000e+00 1.273878047609967414e+36 0.000000000000000000e+00
3.521270982983073736e+02 1.271689042202164543e+01 9.342743826233509026e+02 0.000000000000000000e+00 1.194339658896027152e+36 0.000000000000000000e+00 9.342743826233509026e+02 0.000000000000000000e+00 1.194339658896027152e+36 0.000000000000000000e+00
3.526761012711966714e+02 1.270264369036810592e+01 9.332740888518248994e+02 0.000000000000000000e+00 1.076782164958797707e+36 0.000000000000000000e+00 9.332740888518248994e+02 0.000000000000000000e+00 1.076782164958797707e+36 0.000000000000000000e+00
3.532710612269103194e+02 1.268731044658983720e+01 9.312735013087296920e+02 0.000000000000000000e+00 9.618954127439048075e+35 0.000000000000000000e+00 0.000000000000000000e+00 9.312735013087296920e+02 0.000000000000000000e+00 9.618954127439048075e+35
3.537813914985077304e+02 1.267418558477599433e+01 9.292729137656349394e+02 0.000000000000000000e+00 8.997624270171569368e+35 0.000000000000000000e+00 0.000000000000000000e+00 9.292729137656349394e+02 0.000000000000000000e+00 8.997624270171569368e+35
3.543090681631126131e+02 1.266059444340975659e+01 9.252717386794620325e+02 0.000000000000000000e+00 8.300951063934448798e+35 0.000000000000000000e+00 0.000000000000000000e+00 9.252717386794620325e+02 0.000000000000000000e+00 8.300951063934448798e+35
3.548119851708325996e+02 1.264769391876824223e+01 9.252717386794575987e+02 0.000000000000000000e+00 7.658220269795912660e+35 0.000000000000000000e+00 0.000000000000000000e+00 9.252717386794575987e+02 0.000000000000000000e+00 7.658220269795912660e+35
3.554001351349945708e+02 1.263263792498613114e+01 9.232711511363526142e+02 0.000000000000000000e+00 6.952289585547435501e+35 0.000000000000000000e+00 0.000000000000000000e+00 9.232711511363526142e+02 0.000000000000000000e+00 6.952289585547435501e+35
3.559696180206677241e+02 1.261812458738326725e+01 9.212705635932743462e+02 0.000000000000000000e+00 6.563384598325430098e+35 0.000000000000000000e+00 9.212705635932743462e+02 0.000000000000000000e+00 6.563384598325430098e+35 0.000000000000000000e+00
3.565377808204510757e+02 1.260372607311460058e+01 2.961869857545810191e+03 3.901145709026901898e+01 4.708041768329335579e+36 2.606513576243371150e+34 2.961869857545810191e+03 3.901145709026901898e+01 4.708041768329335579e+36 2.606513576243371150e+34
